----------- Table of 2 ----------
i * j = 2 
i * j = 4 
i * j = 6 
i * j = 8 
i * j = 10 
i * j = 12 
i * j = 14 
i * j = 16 
i * j = 18 
i * j = 20 
---------------------------------------
----------- Table of 3 ----------
i * j = 3 
i * j = 6 
i * j = 9 
i * j = 12 
i * j = 15 
i * j = 18 
i * j = 21 
i * j = 24 
i * j = 27 
i * j = 30 
---------------------------------------
----------- Table of 4 ----------
i * j = 4 
i * j = 8 
i * j = 12 
i * j = 16 
i * j = 20 
i * j = 24 
i * j = 28 
i * j = 32 
i * j = 36 
i * j = 40 
---------------------------------------
----------- Table of 5 ----------
i * j = 5 
i * j = 10 
i * j = 15 
i * j = 20 
i * j = 25 
i * j = 30 
i * j = 35 
i * j = 40 
i * j = 45 
i * j = 50 
---------------------------------------
----------- Table of 6 ----------
i * j = 6 
i * j = 12 
i * j = 18 
i * j = 24 
i * j = 30 
i * j = 36 
i * j = 42 
i * j = 48 
i * j = 54 
i * j = 60 
---------------------------------------
----------- Table of 7 ----------
i * j = 7 
i * j = 14 
i * j = 21 
i * j = 28 
i * j = 35 
i * j = 42 
i * j = 49 
i * j = 56 
i * j = 63 
i * j = 70 
---------------------------------------
----------- Table of 8 ----------
i * j = 8 
i * j = 16 
i * j = 24 
i * j = 32 
i * j = 40 
i * j = 48 
i * j = 56 
i * j = 64 
i * j = 72 
i * j = 80 
---------------------------------------
----------- Table of 9 ----------
i * j = 9 
i * j = 18 
i * j = 27 
i * j = 36 
i * j = 45 
i * j = 54 
i * j = 63 
i * j = 72 
i * j = 81 
i * j = 90 
---------------------------------------
----------- Table of 10 ----------
i * j = 10 
i * j = 20 
i * j = 30 
i * j = 40 
i * j = 50 
i * j = 60 
i * j = 70 
i * j = 80 
i * j = 90 
i * j = 100 
---------------------------------------
----------- Table of 11 ----------
i * j = 11 
i * j = 22 
i * j = 33 
i * j = 44 
i * j = 55 
i * j = 66 
i * j = 77 
i * j = 88 
i * j = 99 
i * j = 110 
---------------------------------------
----------- Table of 12 ----------
i * j = 12 
i * j = 24 
i * j = 36 
i * j = 48 
i * j = 60 
i * j = 72 
i * j = 84 
i * j = 96 
i * j = 108 
i * j = 120 
---------------------------------------
----------- Table of 13 ----------
i * j = 13 
i * j = 26 
i * j = 39 
i * j = 52 
i * j = 65 
i * j = 78 
i * j = 91 
i * j = 104 
i * j = 117 
i * j = 130 
---------------------------------------
----------- Table of 14 ----------
i * j = 14 
i * j = 28 
i * j = 42 
i * j = 56 
i * j = 70 
i * j = 84 
i * j = 98 
i * j = 112 
i * j = 126 
i * j = 140 
---------------------------------------
----------- Table of 15 ----------
i * j = 15 
i * j = 30 
i * j = 45 
i * j = 60 
i * j = 75 
i * j = 90 
i * j = 105 
i * j = 120 
i * j = 135 
i * j = 150 
---------------------------------------
----------- Table of 16 ----------
i * j = 16 
i * j = 32 
i * j = 48 
i * j = 64 
i * j = 80 
i * j = 96 
i * j = 112 
i * j = 128 
i * j = 144 
i * j = 160 
---------------------------------------
----------- Table of 17 ----------
i * j = 17 
i * j = 34 
i * j = 51 
i * j = 68 
i * j = 85 
i * j = 102 
i * j = 119 
i * j = 136 
i * j = 153 
i * j = 170 
---------------------------------------
----------- Table of 18 ----------
i * j = 18 
i * j = 36 
i * j = 54 
i * j = 72 
i * j = 90 
i * j = 108 
i * j = 126 
i * j = 144 
i * j = 162 
i * j = 180 
---------------------------------------
----------- Table of 19 ----------
i * j = 19 
i * j = 38 
i * j = 57 
i * j = 76 
i * j = 95 
i * j = 114 
i * j = 133 
i * j = 152 
i * j = 171 
i * j = 190 
---------------------------------------
----------- Table of 20 ----------
i * j = 20 
i * j = 40 
i * j = 60 
i * j = 80 
i * j = 100 
i * j = 120 
i * j = 140 
i * j = 160 
i * j = 180 
i * j = 200 
---------------------------------------
